Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"hacappbog03";"true";"IHA0069";"Windows";"Datacenter - Admin Microsoft";"(activo)";"FIREWALL TELMEX";"SOP COM CORP  // MEDELLIN // TRIARA // HACAPPBOG03";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"24/04/23 14:37:46"
"rfntrapp04";"true";"RFH0044";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO // BOGOTA // Triara // Hosting ( IaaS)";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"20/04/23 22:35:50"
"prdpvwprpaap";"true";"ZBHB314";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA // REMPLAZO DE OT 16395408 //";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb424-gaf03-28-dl360g10)";"21/03/23 22:37:51"
"thor02";"true";"TMP0723";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // MV AMETRINA2 ROL PROVISIONING,DHCP";"CLT153_TRI_DED_GRUPOAVAL008_IPA | Virtualization Layer Software";"22/04/23 21:12:51"
"prdpvwts3gr2ap5";"true";"ZBHB351";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb438-gaf03-27-dl360g10)";"21/03/23 22:34:27"
"davi-ctcticontrolev-01";"true";"DAVI605";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL) // DAVI-CTCTICONTROLEV-01";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4073-gai12-0201-ch121v5)";"15/03/23 02:42:38"
"gir-icon1-2";"true";"TFM2716";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_PCCAAS_GIR_ICON_VIRTUAL_1";"CLT216_TRI_INT_PCAAS | Virtualization Layer Software (d-tfm2485-fbd30-2605-bl460cg10)";"14/04/23 22:32:19"
"rigel";"true";"TMP0669";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA  // MORION2+BARITA2 MV //HOSTING (HOSTING VIRTUAL)";"CLT140_TRI_DED_GRUPOAVAL006_FP | Virtualization Layer Software (d-tfm3991-cv20-0210-ch12v5)";"27/03/23 22:36:29"
"tfm0699";"true";"TFM0699";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI-SCOM02";"";"30/03/23 18:33:06"
"akiles";"true";"KFFT175";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING COMPARTIDO";"SOP COM CORP // BOGOTA // DATA CENTER TRIARA // HOSTING VIRTUAL // AKILES";"CLT310_TRI_COM_OCTADECACORE06_ACI | Virtualization Layer Software";"17/04/23 22:36:46"
